2024-05-08T13:42:10.343216, BTC, $1.19m, BUY
2024-05-08T13:42:12.346402, BTC, $3.62m, BUY
2024-05-08T13:42:14.348927, BTC, $0.58m, BUY
2024-05-08T13:42:18.353458, BTC, $0.52m, SELL
2024-05-08T13:42:28.363971, BTC, $0.52m, SELL
2024-05-08T13:42:28.364875, BTC, $1.05m, BUY
2024-05-08T13:42:37.371459, ETH, $0.64m, SELL
2024-05-08T16:36:01.962381, BTC, $1.46m, SELL
2024-05-08T16:36:09.982669, BTC, $0.70m, SELL
2024-05-08T16:36:10.984412, BTC, $0.52m, SELL
2024-05-08T16:36:11.986359, ETH, $0.63m, SELL
2024-05-08T16:36:13.988820, BTC, $0.86m, BUY
2024-05-08T16:36:17.993294, BTC, $0.57m, SELL
